ID;stockLevel_ID;changeAmount;changedAt;reason
a0000000-0000-0000-0000-000000000001;1001;-3;2026-06-28T10:15:00Z;Satış
a0000000-0000-0000-0000-000000000002;1001;-2;2026-07-01T14:30:00Z;Satış
a0000000-0000-0000-0000-000000000003;1001;-4;2026-07-04T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000004;1001;+20;2026-07-07T09:00:00Z;İkmal - depo sevkiyatı
a0000000-0000-0000-0000-000000000005;1001;-5;2026-07-10T16:45:00Z;Satış
a0000000-0000-0000-0000-000000000006;1001;-3;2026-07-14T13:20:00Z;Satış
a0000000-0000-0000-0000-000000000007;1001;-2;2026-07-17T10:05:00Z;Satış
a0000000-0000-0000-0000-000000000011;1002;-2;2026-06-30T12:00:00Z;Satış
a0000000-0000-0000-0000-000000000012;1002;-1;2026-07-03T15:30:00Z;Satış
a0000000-0000-0000-0000-000000000013;1002;-2;2026-07-07T11:45:00Z;Satış
a0000000-0000-0000-0000-000000000014;1002;-1;2026-07-10T14:10:00Z;Satış
a0000000-0000-0000-0000-000000000015;1002;-2;2026-07-13T10:30:00Z;Satış
a0000000-0000-0000-0000-000000000016;1002;-1;2026-07-16T16:00:00Z;Satış
a0000000-0000-0000-0000-000000000017;1002;-1;2026-07-18T09:15:00Z;Satış
a0000000-0000-0000-0000-000000000021;1003;-2;2026-07-05T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000022;1003;-3;2026-07-11T15:30:00Z;Satış
a0000000-0000-0000-0000-000000000023;1003;-2;2026-07-16T13:45:00Z;Satış
a0000000-0000-0000-0000-000000000031;1004;-3;2026-07-02T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000032;1004;-2;2026-07-08T14:00:00Z;Satış
a0000000-0000-0000-0000-000000000033;1004;-1;2026-07-15T09:30:00Z;Satış
a0000000-0000-0000-0000-000000000034;1004;-2;2026-07-20T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000041;1005;-4;2026-07-01T09:00:00Z;Satış
a0000000-0000-0000-0000-000000000042;1005;-3;2026-07-06T13:00:00Z;Satış
a0000000-0000-0000-0000-000000000043;1005;+15;2026-07-10T08:00:00Z;İkmal - tedarikçi teslimatı
a0000000-0000-0000-0000-000000000044;1005;-5;2026-07-14T16:00:00Z;Satış
a0000000-0000-0000-0000-000000000045;1005;-4;2026-07-19T11:30:00Z;Satış
a0000000-0000-0000-0000-000000000051;1006;-2;2026-07-03T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000052;1006;-3;2026-07-09T14:30:00Z;Satış
a0000000-0000-0000-0000-000000000053;1006;-1;2026-07-14T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000061;1007;-1;2026-07-05T12:00:00Z;Satış
a0000000-0000-0000-0000-000000000062;1007;-2;2026-07-12T15:00:00Z;Satış
a0000000-0000-0000-0000-000000000063;1007;-1;2026-07-18T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000071;1008;-8;2026-07-01T09:00:00Z;Satış
a0000000-0000-0000-0000-000000000072;1008;-6;2026-07-07T14:00:00Z;Satış
a0000000-0000-0000-0000-000000000073;1008;+30;2026-07-12T08:00:00Z;İkmal - depo sevkiyatı
a0000000-0000-0000-0000-000000000074;1008;-10;2026-07-16T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000075;1008;-7;2026-07-21T13:30:00Z;Satış
a0000000-0000-0000-0000-000000000081;1009;-2;2026-07-04T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000082;1009;-3;2026-07-11T14:00:00Z;Satış
a0000000-0000-0000-0000-000000000083;1009;-2;2026-07-17T09:00:00Z;Satış
a0000000-0000-0000-0000-000000000091;1010;-5;2026-07-02T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000092;1010;-4;2026-07-09T15:00:00Z;Satış
a0000000-0000-0000-0000-000000000093;1010;-6;2026-07-16T10:30:00Z;Satış
a0000000-0000-0000-0000-000000000101;1011;-3;2026-07-03T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000102;1011;-4;2026-07-10T14:00:00Z;Satış
a0000000-0000-0000-0000-000000000103;1011;-2;2026-07-17T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000111;1012;-10;2026-07-01T09:00:00Z;Satış
a0000000-0000-0000-0000-000000000112;1012;-8;2026-07-08T13:00:00Z;Satış
a0000000-0000-0000-0000-000000000113;1012;-12;2026-07-15T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000121;1013;-1;2026-07-06T12:00:00Z;Satış
a0000000-0000-0000-0000-000000000122;1013;-2;2026-07-13T15:30:00Z;Satış
a0000000-0000-0000-0000-000000000131;1014;-3;2026-07-04T11:00:00Z;Satış
a0000000-0000-0000-0000-000000000132;1014;-2;2026-07-11T14:00:00Z;Satış
a0000000-0000-0000-0000-000000000141;1015;-2;2026-07-07T10:00:00Z;Satış
a0000000-0000-0000-0000-000000000142;1015;-1;2026-07-14T13:00:00Z;Satış
a0000000-0000-0000-0000-000000000143;1015;-3;2026-07-20T11:00:00Z;Satış
